timestamp, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/06/10 08:25:47.847, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:25:47.848, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:25:52.849, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:25:52.849, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:25:57.850, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:25:57.850, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:26:02.851, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:26:02.851, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:26:07.852, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:26:07.852, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:26:12.853, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:26:12.853, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:26:17.854, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:26:17.854, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:26:22.855, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:26:22.855, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:26:27.856, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:26:27.856, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:26:32.857, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:26:32.857, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:26:37.858, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:26:37.859, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:26:42.860, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:26:42.860, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:26:47.861, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:26:47.861, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:26:52.862, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:26:52.862, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:26:57.863, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:26:57.863, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:27:02.865, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:27:02.866, 0 %, 0 MiB, 81920 MiB
2026/06/10 08:27:07.867, 0 %, 463 MiB, 81920 MiB
2026/06/10 08:27:07.867, 0 %, 0 MiB, 81920 MiB
