timestamp, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/04/14 12:16:49.826, 0 %, 457 MiB, 81920 MiB
2026/04/14 12:16:49.827, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:16:54.828, 0 %, 457 MiB, 81920 MiB
2026/04/14 12:16:54.828, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:16:59.829, 0 %, 457 MiB, 81920 MiB
2026/04/14 12:16:59.829, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:17:04.830, 0 %, 457 MiB, 81920 MiB
2026/04/14 12:17:04.830, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:17:09.831, 0 %, 457 MiB, 81920 MiB
2026/04/14 12:17:09.831, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:17:14.832, 0 %, 457 MiB, 81920 MiB
2026/04/14 12:17:14.832, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:17:19.833, 0 %, 457 MiB, 81920 MiB
2026/04/14 12:17:19.833, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:17:24.833, 0 %, 457 MiB, 81920 MiB
2026/04/14 12:17:24.834, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:17:29.834, 0 %, 457 MiB, 81920 MiB
2026/04/14 12:17:29.835, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:17:34.835, 0 %, 457 MiB, 81920 MiB
2026/04/14 12:17:34.835, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:17:39.836, 0 %, 457 MiB, 81920 MiB
2026/04/14 12:17:39.836, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:17:44.837, 0 %, 457 MiB, 81920 MiB
2026/04/14 12:17:44.840, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:17:49.841, 0 %, 457 MiB, 81920 MiB
2026/04/14 12:17:49.841, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:17:54.842, 0 %, 457 MiB, 81920 MiB
2026/04/14 12:17:54.842, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:17:59.843, 0 %, 457 MiB, 81920 MiB
2026/04/14 12:17:59.843, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:18:04.843, 0 %, 457 MiB, 81920 MiB
2026/04/14 12:18:04.843, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:18:09.844, 0 %, 457 MiB, 81920 MiB
2026/04/14 12:18:09.844, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:18:14.845, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:18:14.846, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:18:19.846, 3 %, 525 MiB, 81920 MiB
2026/04/14 12:18:19.847, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:18:24.848, 34 %, 491 MiB, 81920 MiB
2026/04/14 12:18:24.848, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:18:29.849, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:18:29.849, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:18:34.850, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:18:34.850, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:18:39.851, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:18:39.851, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:18:44.852, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:18:44.852, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:18:49.853, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:18:49.853, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:18:54.854, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:18:54.854, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:18:59.855, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:18:59.855, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:19:04.856, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:19:04.856, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:19:09.857, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:19:09.857, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:19:14.858, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:19:14.858, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:19:19.859, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:19:19.859, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:19:24.860, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:19:24.860, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:19:29.861, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:19:29.861, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:19:34.861, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:19:34.862, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:19:39.862, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:19:39.862, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:19:44.863, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:19:44.863, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:19:49.864, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:19:49.864, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:19:54.865, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:19:54.865, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:19:59.866, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:19:59.866, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:20:04.867, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:20:04.867, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:20:09.868, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:20:09.868, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:20:14.869, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:20:14.869, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:20:19.869, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:20:19.869, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:20:24.894, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:20:24.894, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:20:29.895, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:20:29.895, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:20:34.896, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:20:34.896, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:20:39.897, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:20:39.897, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:20:44.898, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:20:44.898, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:20:49.899, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:20:49.899, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:20:54.900, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:20:54.901, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:20:59.943, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:20:59.944, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:21:04.944, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:21:04.945, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:21:09.945, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:21:09.945, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:21:14.946, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:21:14.946, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:21:19.947, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:21:19.947, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:21:24.948, 0 %, 491 MiB, 81920 MiB
