timestamp, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/04/14 11:13:10.902, 0 %, 457 MiB, 81920 MiB
2026/04/14 11:13:10.902, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:13:15.903, 0 %, 457 MiB, 81920 MiB
2026/04/14 11:13:15.903, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:13:20.904, 0 %, 457 MiB, 81920 MiB
2026/04/14 11:13:20.904, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:13:25.905, 0 %, 457 MiB, 81920 MiB
2026/04/14 11:13:25.905, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:13:30.906, 0 %, 457 MiB, 81920 MiB
2026/04/14 11:13:30.906, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:13:35.906, 0 %, 457 MiB, 81920 MiB
2026/04/14 11:13:35.907, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:13:40.908, 0 %, 457 MiB, 81920 MiB
2026/04/14 11:13:40.908, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:13:45.908, 0 %, 457 MiB, 81920 MiB
2026/04/14 11:13:45.909, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:13:50.909, 0 %, 457 MiB, 81920 MiB
2026/04/14 11:13:50.910, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:13:55.910, 0 %, 457 MiB, 81920 MiB
2026/04/14 11:13:55.911, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:14:00.911, 0 %, 457 MiB, 81920 MiB
2026/04/14 11:14:00.912, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:14:05.912, 0 %, 457 MiB, 81920 MiB
2026/04/14 11:14:05.913, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:14:10.914, 0 %, 457 MiB, 81920 MiB
2026/04/14 11:14:10.914, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:14:15.915, 0 %, 457 MiB, 81920 MiB
2026/04/14 11:14:15.915, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:14:20.931, 0 %, 457 MiB, 81920 MiB
2026/04/14 11:14:20.931, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:14:25.932, 0 %, 457 MiB, 81920 MiB
2026/04/14 11:14:25.932, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:14:30.933, 0 %, 457 MiB, 81920 MiB
2026/04/14 11:14:30.933, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:14:35.934, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:14:35.934, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:14:40.935, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:14:40.935, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:14:45.936, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:14:45.936, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:14:50.936, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:14:50.937, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:14:55.937, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:14:55.937, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:15:00.938, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:15:00.938, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:15:05.939, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:15:05.939, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:15:10.940, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:15:10.940, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:15:15.941, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:15:15.941, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:15:20.941, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:15:20.941, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:15:25.942, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:15:25.942, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:15:30.943, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:15:30.943, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:15:35.944, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:15:35.944, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:15:40.945, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:15:40.945, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:15:45.945, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:15:45.946, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:15:50.946, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:15:50.946, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:15:55.947, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:15:55.947, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:16:00.948, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:16:00.948, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:16:05.949, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:16:05.949, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:16:10.950, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:16:10.950, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:16:15.950, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:16:15.951, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:16:20.951, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:16:20.951, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:16:25.952, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:16:25.952, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:16:30.953, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:16:30.953, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:16:35.954, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:16:35.954, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:16:40.955, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:16:40.955, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:16:45.956, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:16:45.956, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:16:50.956, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:16:50.956, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:16:55.957, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:16:55.957, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:17:00.958, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:17:00.958, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:17:05.959, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:17:05.959, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:17:10.960, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:17:10.960, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:17:15.960, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:17:15.961, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:17:20.961, 9 %, 491 MiB, 81920 MiB
2026/04/14 11:17:20.961, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:17:25.962, 5 %, 491 MiB, 81920 MiB
2026/04/14 11:17:25.962, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:17:30.963, 14 %, 491 MiB, 81920 MiB
2026/04/14 11:17:30.963, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:17:35.964, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:17:35.964, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:17:40.964, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:17:40.965, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:17:45.965, 6 %, 491 MiB, 81920 MiB
2026/04/14 11:17:45.965, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:17:50.966, 3 %, 491 MiB, 81920 MiB
2026/04/14 11:17:50.966, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:17:55.967, 12 %, 491 MiB, 81920 MiB
2026/04/14 11:17:55.967, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:18:00.968, 7 %, 491 MiB, 81920 MiB
2026/04/14 11:18:00.968, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:18:05.969, 15 %, 491 MiB, 81920 MiB
2026/04/14 11:18:05.969, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:18:10.970, 9 %, 491 MiB, 81920 MiB
2026/04/14 11:18:10.970, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:18:15.971, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:18:15.971, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:18:20.971, 14 %, 491 MiB, 81920 MiB
2026/04/14 11:18:20.972, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:18:25.972, 1 %, 491 MiB, 81920 MiB
2026/04/14 11:18:25.973, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:18:30.973, 9 %, 491 MiB, 81920 MiB
2026/04/14 11:18:30.974, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:18:35.974, 7 %, 491 MiB, 81920 MiB
2026/04/14 11:18:35.974, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:18:40.975, 14 %, 491 MiB, 81920 MiB
2026/04/14 11:18:40.975, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:18:45.976, 9 %, 491 MiB, 81920 MiB
2026/04/14 11:18:45.976, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:18:50.977, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:18:50.977, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:18:55.978, 15 %, 491 MiB, 81920 MiB
2026/04/14 11:18:55.978, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:19:00.979, 16 %, 491 MiB, 81920 MiB
2026/04/14 11:19:00.979, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:19:05.980, 0 %, 491 MiB, 81920 MiB
2026/04/14 11:19:05.980, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:19:10.981, 3 %, 491 MiB, 81920 MiB
2026/04/14 11:19:10.981, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:19:15.981, 12 %, 491 MiB, 81920 MiB
2026/04/14 11:19:15.982, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:19:20.983, 8 %, 491 MiB, 81920 MiB
2026/04/14 11:19:20.983, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:19:25.983, 16 %, 491 MiB, 81920 MiB
2026/04/14 11:19:25.984, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:19:30.984, 9 %, 491 MiB, 81920 MiB
2026/04/14 11:19:30.984, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:19:35.985, 18 %, 491 MiB, 81920 MiB
2026/04/14 11:19:35.985, 0 %, 0 MiB, 81920 MiB
2026/04/14 11:19:40.986, 4 %, 491 MiB, 81920 MiB
2026/04/14 11:19:40.986, 0 %, 0 MiB, 81920 MiB
