timestamp, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/06/10 00:02:43.811, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:02:43.811, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:02:48.812, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:02:48.812, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:02:53.813, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:02:53.813, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:02:58.814, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:02:58.814, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:03:03.815, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:03:03.815, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:03:08.816, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:03:08.816, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:03:13.817, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:03:13.817, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:03:18.818, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:03:18.818, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:03:23.819, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:03:23.819, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:03:28.820, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:03:28.820, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:03:33.823, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:03:33.823, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:03:38.824, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:03:38.824, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:03:43.826, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:03:43.826, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:03:48.827, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:03:48.827, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:03:53.828, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:03:53.828, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:03:58.829, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:03:58.829, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:04:03.830, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:04:03.830, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:04:08.831, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:04:08.831, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:04:13.832, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:04:13.832, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:04:18.833, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:04:18.833, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:04:23.834, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:04:23.835, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:04:28.835, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:04:28.836, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:04:33.837, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:04:33.837, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:04:38.838, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:04:38.838, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:04:43.839, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:04:43.839, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:04:48.840, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:04:48.840, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:04:53.841, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:04:53.841, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:04:58.842, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:04:58.842, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:05:03.844, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:05:03.844, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:05:08.845, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:05:08.845, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:05:13.846, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:05:13.846, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:05:18.847, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:05:18.847, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:05:23.848, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:05:23.848, 0 %, 0 MiB, 81920 MiB
